"department","total_count","terminated_count","termination_rate"
"Auditing","52","12","23.076923076923077"
"Legal","311","63","20.257234726688104"
"Research and Development","1084","212","19.557195571955717"
"Support","954","182","19.07756813417191"
"Sales","1832","335","18.286026200873362"
"Product Management","641","114","17.784711388455538"
"Engineering","6686","1185","17.723601555489083"
"Accounting","3333","586","17.581758175817583"
"Services","1686","293","17.37841043890866"
"Training","1692","291","17.19858156028369"
"Human Resources","1807","309","17.10016602102933"
"Business Development","1642","275","16.74786845310597"
"Marketing","494","72","14.5748987854251"
